filename,text
i_a04-054-05-08.png,think
i_b06-004-03-00.png,were
i_a01-011-00-01.png,from
i_e01-014-04-00.png,for
i_b03-109-04-07.png,persuade
i_d06-025-02-03.png,That
i_d05-013-02-03.png,the
i_c03-084a-07-01.png,of
i_a01-063-07-05.png,to
i_c04-044-00-08.png,"300,000"
i_a01-107u-07-03.png,nothing
i_b04-116-00-04.png,Government
i_b06-004-02-05.png,other
i_e06-070-00-05.png,little
i_a05-013-07-01.png,out
i_b04-034-00-05.png,argument
i_d06-063-01-02.png,died
i_e06-049-03-05.png,fish
i_e04-038-01-05.png,the
i_a01-102u-03-11.png,""""
i_d06-104-05-03.png,again
i_a01-043-08-00.png,racial
i_c06-043-02-05.png,heart
i_a03-037-06-03.png,Madawaska
i_a02-093-03-03.png,Colonial
i_a01-063u-03-04.png,","
i_a02-078-06-08.png,record
i_e02-086-07-00.png,to
i_c03-021a-08-05.png,someone
i_d07-100-00-05.png,the
i_b03-109-07-04.png,rather
i_e01-113-04-00.png,and
i_b01-084-02-09.png,to
i_d06-025-07-01.png,for
i_e02-018-05-00.png,accurate
i_d06-086-02-01.png,than
i_a04-050-05-08.png,and
i_c06-116-05-04.png,hockey
i_d06-011-06-05.png,","
i_c04-150-06-10.png,had
i_a04-023-02-09.png,three
i_a04-035-07-04.png,A
i_c02-082-09-05.png,even
i_a01-020x-02-00.png,blown
i_b01-057-08-07.png,earthly
i_c04-089-00-11.png,own
i_b05-067-02-03.png,that
i_a01-091-00-02.png,of
i_a05-013-07-03.png,uniform
i_a04-050-00-03.png,that
i_a03-043-06-07.png,Many
i_a02-020-04-06.png,.
i_d04-111-09-01.png,is
i_b02-045-08-07.png,.
i_a05-073-09-07.png,variety
i_c03-087f-05-01.png,.
i_a05-044-10-01.png,are
i_c03-094f-03-05.png,abashed
i_b01-023-00-10.png,clings
i_c04-000-03-13.png,-
i_e02-086-02-06.png,tools
i_c06-020-05-09.png,'ll
i_b04-026-01-04.png,THIS
i_a01-020x-00-01.png,Macleod
i_a02-050-02-01.png,that
i_a03-030-02-05.png,no
i_e04-004-05-07.png,in.
i_a05-048-06-01.png,Prime
i_a02-000-02-05.png,to
i_d07-093-02-00.png,here
i_e01-032-06-05.png,give
i_a05-084-00-03.png,realised
i_c03-081a-07-03.png,the
i_a06-110-02-01.png,this
i_b01-057-03-05.png,a
i_e01-055-00-01.png,can
i_c02-082-01-02.png,Cantabile
i_c02-007-00-06.png,photographs
i_b06-004-07-07.png,.
i_d04-131-05-01.png,Matzos
i_e04-026-03-03.png,attached
i_a02-053-02-07.png,Ambassador
i_e06-033-05-07.png,it
i_a01-107u-06-05.png,The
i_c03-000c-03-05.png,","
i_a06-141-05-02.png,has
i_b03-114-03-00.png,of
i_c04-170-00-03.png,Alan
i_e01-018-06-03.png,.
i_a06-110-00-00.png,Conservatives
i_b05-062-01-00.png,tested
i_e02-117-00-04.png,limited
i_c02-049-08-05.png,the
i_c06-095-03-03.png,they
i_d06-096-01-00.png,can
i_b04-075-04-00.png,of
i_c03-007f-05-03.png,canals
i_d01-060-09-01.png,a
i_a01-014u-07-01.png,report
i_c03-096a-01-02.png,appreciable
i_c03-084d-03-00.png,emphasizing
i_a06-070-01-09.png,#
i_c04-156-05-04.png,the
i_e07-012-00-06.png,the
i_c02-017-01-03.png,the
i_e04-043-02-05.png,designed
i_e02-094-04-04.png,","
i_a04-006-00-03.png,Mr.
i_a03-009-00-00.png,The
i_e06-026-02-06.png,by
i_e04-119-01-01.png,rubbing
i_a05-025-03-03.png,touch
i_e02-091-08-00.png,obvious
i_b03-025-04-05.png,-
i_b05-074-09-05.png,#
i_a01-132u-08-02.png,free
i_c06-020-02-11.png,I
i_b02-102-04-06.png,convinced
i_e04-004-02-09.png,piece
i_a02-012-05-06.png,Mr.
i_e04-109-01-03.png,a
i_b05-079-00-06.png,.
i_c02-082-07-06.png,been
i_c04-035-06-06.png,through
i_c02-056-00-00.png,This
i_c03-021c-02-02.png,but
i_e01-018-06-08.png,tender
i_a02-027-04-05.png,.
i_b05-045-07-04.png,and
i_a01-049x-02-02.png,it
i_a01-038x-08-05.png,Government
i_a06-134-01-00.png,West
i_c03-094c-02-04.png,Maxwell
i_a05-069-02-05.png,affairs
i_d04-012-03-03.png,","
i_a01-128u-09-04.png,will
i_d01-118-04-03.png,any
i_b06-045-02-07.png,unity
i_e04-099-06-11.png,.
i_a01-091-09-03.png,the
i_c03-087c-02-06.png,character
i_b05-067-02-00.png,when
i_d05-040-02-06.png,Prayer
i_a01-043x-01-02.png,PRESIDENT
i_c03-084d-01-05.png,to
i_a01-091-01-05.png,were
i_c04-056-02-08.png,old
i_c04-050-05-09.png,It
i_c03-087f-05-07.png,say
i_b01-122-06-03.png,","
i_c03-081f-04-05.png,seen
i_e07-000-03-00.png,20
i_c06-000-06-04.png,.
i_b01-053-02-04.png,to
i_c02-007-01-06.png,Africa
i_a05-025-10-03.png,.
i_b06-068-04-03.png,the
i_a01-072u-07-07.png,risks
i_d04-081-05-02.png,to
i_b05-083-06-05.png,attitude
i_c03-087e-06-02.png,succeeded
i_c06-128-00-03.png,evening
i_c03-003a-02-00.png,and
i_a01-113u-02-00.png,different
i_c03-003d-04-03.png,background
i_a01-058x-06-01.png,would
i_a01-132-03-02.png,decided
i_a02-008-04-06.png,Once
i_e01-107-02-07.png,size
i_c02-056-03-00.png,""""
i_e04-083-00-01.png,edges
i_d04-062-00-07.png,Lord
i_a05-058-00-07.png,surrender
i_a01-117u-03-06.png,had
i_a01-122u-05-05.png,The
i_d06-060-03-03.png,fact
i_a05-000-03-08.png,superbly
i_a02-090-04-05.png,its
i_e04-109-01-02.png,and
i_a04-081-02-01.png,.
i_a01-128u-01-03.png,full
i_b01-038-07-02.png,means
i_b04-202-06-02.png,men
i_b01-127-06-04.png,modified
i_c03-081e-06-05.png,effective
i_c03-096c-04-02.png,.
i_a03-034-06-07.png,face
i_c03-000d-06-07.png,and
i_a01-063-08-04.png,point
i_e04-103-03-02.png,frame
i_a01-117u-04-05.png,per
i_b04-047-05-01.png,be
i_d06-100-06-06.png,who
i_b05-032-07-05.png,their
i_d06-060-07-01.png,to
i_c04-116-02-03.png,he
i_b06-023-04-07.png,plan
i_b06-071-03-06.png,-
i_c06-080-05-05.png,Most
i_a02-017-02-09.png,Bell
i_c01-009-04-05.png,Lovers
i_c03-096a-00-00.png,Only
i_e04-091-03-04.png,moulds
i_d01-060-04-00.png,taken
i_a05-025-04-02.png,has
i_b05-098-00-03.png,""""
i_c03-094c-01-03.png,Sheila
i_a06-134-00-08.png,memorandum
i_b05-098-08-03.png,sugary
i_a02-004-08-05.png,offered
i_a05-108-05-00.png,night
i_a06-152-10-01.png,a
i_b04-134-08-05.png,on
i_a02-053-03-08.png,the
i_a04-085-01-00.png,membership
i_a01-087-04-01.png,-
i_e02-074-03-02.png,household
i_a04-050-06-01.png,attract
i_b06-059-09-01.png,to
i_a03-037-01-03.png,Quebec
i_c03-081f-09-00.png,performance
i_d06-030-02-01.png,true
i_c04-004-06-05.png,the
i_a01-113u-06-05.png,put
i_c03-084f-07-00.png,unfamiliar
i_e04-083-04-01.png,","
i_d06-067-09-00.png,travel
i_b02-013-04-00.png,have
i_c04-156-03-04.png,Daneman
i_b04-103-02-04.png,tools
i_e01-025-00-07.png,lost
i_c04-122-06-07.png,is
i_b05-074-06-10.png,expressed
i_a01-026u-05-02.png,the
i_a06-025-05-03.png,""""
i_a06-114-07-03.png,of
i_c03-081a-08-01.png,of
i_c03-094c-02-08.png,","
i_e06-046-02-01.png,;
i_c04-035-03-06.png,off
i_c03-003c-07-03.png,attempted
i_a03-011-02-02.png,and
i_c03-021d-00-07.png,by
i_a04-039-00-06.png,to
i_c02-056-00-06.png,re-evaluated
i_d04-121-05-08.png,who
i_d05-025-00-03.png,Shakespeare
i_a02-082-06-04.png,convicted
i_a03-037-05-03.png,","
i_c04-110-03-03.png,39
i_e02-086-08-06.png,that
i_b01-000-04-04.png,Will
i_d01-080-01-06.png,served
i_d04-075-06-04.png,.
i_a01-026u-02-03.png,secret
i_e04-038-03-03.png,be
i_a03-017-02-00.png,in
i_b02-045-00-09.png,to
i_e02-025-05-06.png,taper
i_a04-085-04-02.png,Kennedy
i_e01-035-06-08.png,grew
i_e04-030-04-06.png,.
i_a01-011u-07-04.png,","
i_a01-000x-05-03.png,Exchange
i_a04-050-01-06.png,which
i_a05-025-06-00.png,Francis
i_c04-017-00-00.png,But
i_b03-098-02-00.png,ratures
i_a03-059-01-07.png,his
i_d05-021-05-08.png,too
i_c02-049-05-01.png,aspects
i_b04-147-05-01.png,gates
i_d06-111-00-05.png,either
i_d07-102-00-01.png,Gemara
i_a05-029-05-02.png,when
i_d01-016-03-00.png,The
i_c03-021b-05-10.png,his
i_c03-021c-03-00.png,instinct
i_d01-123-00-09.png,one
i_a05-116-06-03.png,","
i_a03-054-04-03.png,has
i_a01-020u-09-01.png,of
i_c03-084c-06-03.png,of
i_b04-202-03-05.png,rival
i_d06-020-07-06.png,our
i_c03-087f-02-02.png,a
i_c03-007d-01-00.png,taken
i_e01-022-01-04.png,lace
i_e06-037-06-03.png,netting
i_a01-132u-08-01.png,be
i_b01-122-05-01.png,Africa
i_a03-014-00-03.png,the
i_b06-059-03-02.png,.
i_b06-068-08-01.png,is
i_e07-012-06-06.png,hold
i_e06-033-02-04.png,set
i_a06-070-06-03.png,agriculture
i_a06-119-08-02.png,at
i_c03-021f-07-03.png,room
i_a01-096u-05-00.png,as
i_a05-009-00-00.png,He
i_c02-017-03-02.png,club
i_c02-082-01-03.png,(
i_a02-050-03-00.png,Commonwealth
i_b06-082-05-01.png,their
i_b01-122-08-06.png,.
i_d01-019-04-00.png,accidentally
i_a03-030-08-03.png,Prime
i_a01-096u-04-00.png,has
i_a02-046-02-07.png,faced
i_c03-000f-00-04.png,Miss
i_a03-059-04-05.png,topic
i_e02-018-06-04.png,of
i_b01-004-06-00.png,of
i_b04-034-01-00.png,the
i_b06-032-03-05.png,country
i_d06-041-02-08.png,some-
i_a06-128-06-01.png,KRUSCHEV
i_a06-141-02-03.png,bombed
i_a01-003u-02-00.png,M Ps
i_b05-098-02-01.png,with
i_e04-004-03-10.png,cutters
i_b03-025-02-05.png,and
i_a02-053-02-02.png,a
i_b04-202-04-06.png,years
i_a01-058u-00-02.png,is
i_a01-087-01-05.png,health
i_e06-010-04-02.png,Bottom
i_a04-081-05-03.png,concentration
i_c03-016d-01-06.png,A
i_c02-003-05-03.png,","
i_e06-046-03-01.png,or
i_d06-063-01-03.png,within
i_a02-057-00-06.png,tapped
i_a02-082-02-04.png,.
i_d07-096-06-01.png,appears
i_a02-090-05-01.png,make
i_e07-000-02-01.png,DDT
i_d04-021-00-08.png,their
i_c03-007d-05-02.png,strewn
i_b05-038-07-02.png,taught
i_b06-053-06-04.png,living
i_a05-004-03-03.png,force
i_a04-010-05-06.png,Washington
i_a01-026-01-07.png,have
i_c03-000f-05-07.png,the
i_a03-071-00-03.png,the
i_b05-071-03-01.png,appalling
i_e04-083-05-04.png,only
i_d06-086-10-06.png,exhausting
i_a02-124-01-05.png,constables
i_d01-019-01-08.png,dislocations
i_a01-058u-01-01.png,West
i_b06-019-03-01.png,for
i_b02-013-04-01.png,us
i_c03-087d-09-01.png,characters
i_e04-132-01-07.png,","
i_c03-084e-01-03.png,full
i_b06-004-06-05.png,to
i_e01-107-05-06.png,practice
i_e07-066-01-01.png,","
